,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,Unnamed: 0,War,Western,\N,endYear,genre,genres,isAdult,new_title,originalTitle,primaryTitle,runtimeMinutes,startYear,tconst,titleType,total,year
5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355708.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,tulio piva pandeiro de prata,Túlio Piva Pandeiro de Prata,Túlio Piva Pandeiro de Prata,\N,2016,tt8173054,movie,1.0,2016.0
5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355868.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,azougue nazare,Azougue Nazaré,Azougue Nazaré,80,2018,tt8183418,movie,1.0,2018.0
5017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355934.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,primavera,Primavera,Primavera,\N,2018,tt8188542,movie,1.0,2018.0
5018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355954.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,o artista ta nas ruas,O Artista tá nas Ruas,O Artista tá nas Ruas,\N,2014,tt8189642,movie,1.0,2014.0
5019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355991.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,belo monte um mundo onde tudo e possivel,Belo Monte: Um Mundo Onde Tudo É Possível,Belo Monte: Um Mundo Onde Tudo É Possível,75,2017,tt8193472,movie,1.0,2017.0
5020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356005.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,boca de ouro,Boca de Ouro,Boca de Ouro,\N,2019,tt8194038,movie,1.0,2019.0
5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356061.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,isto (nao) e um assalto,Isto (não) é um Assalto!,Isto (não) é um Assalto!,100,2018,tt8201338,movie,1.0,2018.0
5022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356064.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,a luta do seculo,A Luta do Século,A Luta do Século,78,2016,tt8201726,movie,1.0,2016.0
5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356191.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,saudade,Saudade,Saudade,77,2018,tt8210704,movie,1.0,2018.0
5024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356203.0,0.0,0.0,0.0,\N,['Comedy'],Comedy,0.0,sai de baixo o filme,Sai de Baixo: O Filme,Sai de Baixo: O Filme,83,2019,tt8211942,movie,1.0,2019.0
5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356283.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,brasil santo,Brasil Santo,Brasil Santo,70,2009,tt8219300,movie,1.0,2009.0
5026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356347.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,terra convexa,Terra Convexa,Terra Convexa,93,2018,tt8223396,movie,1.0,2018.0
5027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356574.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,quase um tango,Quase um Tango,Quase um Tango,90,2009,tt8237880,movie,1.0,2009.0
5028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356834.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,um novo capitalismo,Um Novo Capitalismo,A New Capitalism,71,2017,tt8262374,movie,1.0,2017.0
5029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356972.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,o barco,O Barco,The Boat,72,2018,tt8272406,movie,1.0,2018.0
5030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356989.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,belarmino e gabriela,Belarmino e Gabriela,Belarmino e Gabriela,\N,2007,tt8274176,movie,1.0,2007.0
